identifier,prdkindid,sensor,beginPosition,endPosition,pysical,totalQualityCode,size,processingLevel,version,,April,March
LANCEMODIS:964381999,29002002,TERRA/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.536737442,,,,11.94507599,8.536737442
LANCEMODIS:963765794,28002002,AQUA(CMR)/MODIS,25:00.0,30:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,6.902451515,,,,13.0184679,6.902451515
LANCEMODIS:964421884,28002002,AQUA(CMR)/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.35517025,,,,8.604496002,10.35517025
LANCEMODIS:964477671,28002002,AQUA(CMR)/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,5.778172493,,,,6.806380272,5.778172493
LANCEMODIS:964478685,28002002,AQUA(CMR)/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.945967674,,,,12.98737621,7.945967674
LAADS:5219917291,29002002,TERRA/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.552684784,,,,8.604022026,8.552684784
LANCEMODIS:965058766,29002002,TERRA/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,6.813902855,,,,6.806736946,6.813902855
LANCEMODIS:965128062,28002002,AQUA(CMR)/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,5.394964218,,,,11.98199463,5.394964218
LANCEMODIS:965128345,28002002,AQUA(CMR)/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.214508057,,,,14.69986629,8.214508057
LANCEMODIS:965779745,29002002,TERRA/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.92629337,,,,14.0092783,10.92629337
LANCEMODIS:965843085,28002002,AQUA(CMR)/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.9289465,,,,14.68488503,10.9289465
LANCEMODIS:966426009,29002002,TERRA/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,16.1550312,,,,14.00535297,16.1550312
LANCEMODIS:966500802,28002002,AQUA(CMR)/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,15.80155182,,,,11.30092812,15.80155182
LAADS:5229072739,29002002,TERRA/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,16.14666653,,,,14.39745617,16.14666653
LANCEMODIS:967133555,29002002,TERRA/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.87085152,,,,12.69263554,14.87085152
LAADS:5232862213,28002002,AQUA(CMR)/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.48734474,,,,14.40768433,10.48734474
LANCEMODIS:967200021,28002002,AQUA(CMR)/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.48788738,,,,12.68733692,10.48788738
LAADS:5231628254,29002002,TERRA/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.87714481,,,,11.29917431,14.87714481
LANCEMODIS:967754477,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.46109009,,,,14.62107468,12.46109009
LANCEMODIS:967826073,29002002,TERRA/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.118318558,,,,12.72427464,7.118318558
LAADS:5235188979,28002002,AQUA(CMR)/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.70581818,,,,12.72885132,10.70581818
LANCEMODIS:967868373,28002002,AQUA(CMR)/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.56976414,,,,14.60788441,10.56976414
LAADS:5234542395,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.46848297,,,,13.81456375,12.46848297
LAADS:5234549018,29002002,TERRA/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,7.114500046,,,,14.52640247,7.114500046
LANCEMODIS:968488885,29002002,TERRA/MODIS,25:00.0,30:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.11621475,,,,14.52337265,12.11621475
LAADS:5236795019,29002002,TERRA/MODIS,25:00.0,30:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.12757301,,,,9.946331024,12.12757301
LANCEMODIS:968574909,28002002,AQUA(CMR)/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.19554615,,,,9.939407349,14.19554615
LANCEMODIS:969232409,28002002,AQUA(CMR)/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.56547356,,,,13.81393719,14.56547356
LANCEMODIS:969206032,29002002,TERRA/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.67692089,,,,16.34650898,13.67692089
LANCEMODIS:969864464,29002002,TERRA/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,16.76091671,,,,8.372596741,16.76091671
LANCEMODIS:969936432,28002002,AQUA(CMR)/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.34505081,,,,10.34164333,11.34505081
LANCEMODIS:970571874,29002002,TERRA/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.987072945,,,,10.34401703,8.987072945
LANCEMODIS:970569541,29002002,TERRA/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.02456188,,,,16.3513422,13.02456188
LANCEMODIS:971225079,29002002,TERRA/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.18257141,,,,8.347565651,13.18257141
LANCEMODIS:971231204,29002002,TERRA/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.78501701,,,,11.93483734,13.78501701
LANCEMODIS:970648605,28002002,AQUA(CMR)/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.37969589,,,,10.21021938,12.37969589
LAADS:5246530434,28002002,AQUA(CMR)/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.65598583,,,,10.22079849,12.65598583
LANCEMODIS:971305359,28002002,AQUA(CMR)/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.66981411,,,,11.93042564,12.66981411
LANCEMODIS:971917201,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.95823574,,,,8.399188042,13.95823574
LAADS:5248194697,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.95583725,,,,8.382069588,13.95583725
LANCEMODIS:972586266,29002002,TERRA/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.23961067,,,,14.51845169,14.23961067
LAADS:5248888260,28002002,AQUA(CMR)/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.05326366,,,,9.501468658,11.05326366
LANCEMODIS:971982634,28002002,AQUA(CMR)/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.06100941,,,,9.517003059,11.06100941
LAADS:5249904445,29002002,TERRA/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.23230553,,,,13.15526867,14.23230553
LANCEMODIS:973288976,29002002,TERRA/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.21433449,,,,13.17674637,11.21433449
LANCEMODIS:973286068,29002002,TERRA/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.34151649,,,,14.52779102,13.34151649
LAADS:5250201012,28002002,AQUA(CMR)/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.31476021,,,,10.702384,13.31476021
LANCEMODIS:972661074,28002002,AQUA(CMR)/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.30846405,,,,12.21563816,13.30846405
LAADS:5251337115,28002002,AQUA(CMR)/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.15895939,,,,12.22064304,14.15895939
LAADS:5251341779,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.80844402,,,,10.69670677,11.80844402
LANCEMODIS:973368607,28002002,AQUA(CMR)/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.20161724,,,,12.66346645,14.20161724
LANCEMODIS:973369944,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.81027317,,,,11.47000694,11.81027317
LAADS:5250938350,29002002,TERRA/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.22379398,,,,11.47072124,11.22379398
LAADS:5250936309,29002002,TERRA/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.33977795,,,,12.65537453,13.33977795
LAADS:5254388535,29002002,TERRA/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.963733673,,,,10.77683067,8.963733673
LANCEMODIS:973988588,29002002,TERRA/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.941306114,,,,10.77815437,8.941306114
LAADS:5254299132,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.06251526,,,,13.49723911,12.06251526
LAADS:5254305813,28002002,AQUA(CMR)/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.67308331,,,,10.50222969,14.67308331
LANCEMODIS:974023818,28002002,AQUA(CMR)/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.96631813,,,,10.50236702,11.96631813
LANCEMODIS:974025554,28002002,AQUA(CMR)/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.44815159,,,,12.38228893,13.44815159
LAADS:5257026314,29002002,TERRA/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,16.26845455,,,,12.3816824,16.26845455
LANCEMODIS:974681169,29002002,TERRA/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,16.25871468,,,,13.48863792,16.25871468
LANCEMODIS:975368738,29002002,TERRA/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.37813854,,,,11.66007423,14.37813854
LAADS:5257032677,28002002,AQUA(CMR)/MODIS,25:00.0,30:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.00752544,,,,11.69461155,14.00752544
LANCEMODIS:974733426,28002002,AQUA(CMR)/MODIS,25:00.0,30:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.00363731,,,,11.63980675,14.00363731
LAADS:5260066662,28002002,AQUA(CMR)/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.42211723,,,,11.68502903,14.42211723
LAADS:5260063840,28002002,AQUA(CMR)/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.83990002,,,,11.32495975,10.83990002
LAADS:5260066667,28002002,AQUA(CMR)/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.08512402,,,,8.18552494,11.08512402
LANCEMODIS:975398201,28002002,AQUA(CMR)/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.4600544,,,,11.33885193,14.4600544
LANCEMODIS:975451127,28002002,AQUA(CMR)/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,10.85626602,,,,8.195775032,10.85626602
LANCEMODIS:975453099,28002002,AQUA(CMR)/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.09286976,,,,9.12993145,11.09286976
LAADS:5259743962,29002002,TERRA/MODIS,05:00.0,10:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.47487068,,,,10.87318993,14.47487068
LANCEMODIS:976037018,29002002,TERRA/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.41359997,,,,9.158526421,12.41359997
LAADS:5261201247,29002002,TERRA/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.41294098,,,,10.85534191,12.41294098
LANCEMODIS:976732455,29002002,TERRA/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.78934669,,,,10.8000412,11.78934669
LAADS:5261741064,28002002,AQUA(CMR)/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.024429321,,,,10.79564857,9.024429321
LAADS:5261737939,28002002,AQUA(CMR)/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.94856262,,,,13.68234062,12.94856262
LANCEMODIS:976105957,28002002,AQUA(CMR)/MODIS,10:00.0,15:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.032372475,,,,13.73917007,9.032372475
LANCEMODIS:976106173,28002002,AQUA(CMR)/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.97527313,,,,5.114292145,12.97527313
LAADS:5264561927,28002002,AQUA(CMR)/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.37597561,,,,6.969587326,12.37597561
LANCEMODIS:976822981,28002002,AQUA(CMR)/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.39451218,,,,12.56000996,12.39451218
LAADS:5264200525,29002002,TERRA/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.7862463,,,,12.56184769,11.7862463
LANCEMODIS:977397583,29002002,TERRA/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.32492256,,,,12.21669102,14.32492256
LAADS:5266955449,29002002,TERRA/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.31408215,,,,7.760594368,14.31408215
LANCEMODIS:978105731,29002002,TERRA/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.94913769,,,,4.855371475,14.94913769
LAADS:5267594481,28002002,AQUA(CMR)/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.79441547,,,,12.23914051,11.79441547
LANCEMODIS:977480521,28002002,AQUA(CMR)/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.8270216,,,,7.761252403,11.8270216
LANCEMODIS:978188022,28002002,AQUA(CMR)/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.55146217,,,,4.856455803,11.55146217
LAADS:5269796504,29002002,TERRA/MODIS,40:00.0,45:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.96806431,,,,5.111158371,14.96806431
LANCEMODIS:978745103,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.651404381,,,,6.963161469,8.651404381
LANCEMODIS:978807773,29002002,TERRA/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.037360191,,,,9.58458519,9.037360191
LANCEMODIS:978851102,28002002,AQUA(CMR)/MODIS,50:00.0,55:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.29878139,,,,10.99903965,11.29878139
LAADS:5272631366,29002002,TERRA/MODIS,45:00.0,50:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.654939651,,,,10.20670509,8.654939651
LAADS:5272633493,29002002,TERRA/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.03366375,,,,8.20429039,9.03366375
LANCEMODIS:979478547,29002002,TERRA/MODIS,25:00.0,30:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.84753895,,,,10.23259735,12.84753895
LAADS:5275244278,29002002,TERRA/MODIS,25:00.0,30:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.88341236,,,,8.233807564,12.88341236
LANCEMODIS:979558152,28002002,AQUA(CMR)/MODIS,30:00.0,35:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.91327477,,,,9.581978798,11.91327477
LANCEMODIS:980201318,28002002,AQUA(CMR)/MODIS,35:00.0,40:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.30779362,,,,10.99657059,12.30779362
LANCEMODIS:980795758,29002002,TERRA/MODIS,15:00.0,20:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,15.9128933,,,,7.241444588,15.9128933
LANCEMODIS:981475737,29002002,TERRA/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.000609398,,,,7.240231514,9.000609398
LANCEMODIS:981474724,29002002,TERRA/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.60534286,,,,13.08320427,12.60534286
LAADS:5281206469,28002002,AQUA(CMR)/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.26524544,,,,7.407294273,13.26524544
LANCEMODIS:980867676,28002002,AQUA(CMR)/MODIS,20:00.0,25:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,13.27210522,,,,7.412545204,13.27210522
LAADS:5282660783,29002002,TERRA/MODIS,55:00.0,00:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.017263412,,,,13.07839298,9.017263412
LAADS:5282661519,29002002,TERRA/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.63741684,,,,7.701692581,12.63741684
LANCEMODIS:981565214,28002002,AQUA(CMR)/MODIS,00:00.0,05:00.0,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.79585648,,,,12.731534,12.79585648
,,,,,,,,,12.78764439,,1440.588466,1504.11213
,,,,,,,,,9.309967041,,,
,,,,,,,,,9.305174828,,,
,,,,,,,,,7.698366165,,,
,,,,,,,,,5.961935043,,,
,,,,,,,,,10.60041618,,,
,,,,,,,,,11.64213276,,,
,,,,,,,,,11.67218304,,,
,,,,,,,,,5.96254921,,,
,,,,,,,,,10.59989548,,,
,,,,,,,,,10.13716316,,,
,,,,,,,,,10.14725304,,,
,,,,,,,,,8.047029495,,,
,,,,,,,,,8.050596237,,,
,,,,,,,,,7.73829174,,,
,,,,,,,,,7.749523163,,,
,,,,,,,,,9.522511482,,,
