Date,Country,City,Specie,count,min,max,median,variance
3/21/2020,PH,Baguio,dew,23,12.8,22,20.3,78.81
4/9/2020,PH,Baguio,dew,19,15.5,24,23,95.98
4/22/2020,PH,Baguio,dew,31,18.4,25,23,38.76
1/8/2020,PH,Baguio,dew,8,12,17.8,14.3,42.34
1/15/2020,PH,Baguio,dew,24,0,50.1,20,699.59
1/25/2020,PH,Baguio,dew,10,14.9,21,16.2,65.12
2/3/2020,PH,Baguio,dew,7,10.6,13.4,11.7,9.9
3/9/2020,PH,Baguio,dew,16,0,50.1,18.4,1002.86
4/15/2020,PH,Baguio,dew,23,15.7,24,22,75.34
4/3/2020,PH,Baguio,dew,27,15,21,18,26.8
5/2/2020,PH,Baguio,dew,26,17,24,21,27.23
5/10/2020,PH,Baguio,dew,18,22,26,25,8.9
1/23/2020,PH,Baguio,dew,21,9,20,18,118.59
1/29/2020,PH,Baguio,dew,8,10.7,14.4,13,16.66
3/10/2020,PH,Baguio,dew,14,0,50.1,18,1180.17
4/28/2020,PH,Baguio,dew,17,18.3,23,22,16.7
5/28/2020,PH,Baguio,dew,3,24,25,24,3.33
3/18/2020,PH,Baguio,dew,27,13.5,23,20,62.61
4/25/2020,PH,Baguio,dew,22,17.4,25,22,44.8
5/8/2020,PH,Baguio,dew,30,17.8,26,24,48.97
4/10/2020,PH,Baguio,dew,26,16.3,23,22,55.83
5/6/2020,PH,Baguio,dew,24,18.3,26,24,58.09
1/9/2020,PH,Baguio,dew,16,0,50.1,17.7,1033.42
1/12/2020,PH,Baguio,dew,22,16,24,21,79.49
3/20/2020,PH,Baguio,dew,24,14.5,25,21,72.06
4/7/2020,PH,Baguio,dew,25,15.7,24,22,58.06
4/29/2020,PH,Baguio,dew,23,17.6,23,22,18.9
5/7/2020,PH,Baguio,dew,25,18.8,26,25,60.88
3/25/2020,PH,Baguio,dew,36,13.9,21,19,54.82
5/13/2020,PH,Baguio,dew,20,23,25,24,4.71
1/28/2020,PH,Baguio,dew,8,12.1,15.8,13.6,15.42
2/1/2020,PH,Baguio,dew,7,10.4,13.8,10.8,19.2
5/5/2020,PH,Baguio,dew,21,17.9,25,22.6,49.72
5/27/2020,PH,Baguio,dew,19,23,26,25,4.72
1/26/2020,PH,Baguio,dew,8,14.2,16.8,15.7,6.96
2/22/2020,PH,Baguio,dew,7,0,23.2,22,671.33
4/16/2020,PH,Baguio,dew,24,15.9,25,23,81.9
5/12/2020,PH,Baguio,dew,18,23,26,24,6.83
1/22/2020,PH,Baguio,dew,24,9.1,21,19,154.37
4/24/2020,PH,Baguio,dew,30,16.9,25,22,65.03
5/1/2020,PH,Baguio,dew,27,17.2,23,21,24.4
5/14/2020,PH,Baguio,dew,13,23,26,24,5.77
1/18/2020,PH,Baguio,dew,16,12.3,50.1,16.7,1325.67
3/1/2020,PH,Baguio,dew,15,13.6,22,17.3,90.9
4/11/2020,PH,Baguio,dew,20,16.6,24,22,64.41
1/4/2020,PH,Baguio,dew,8,9.1,13.9,11.6,28
1/13/2020,PH,Baguio,dew,27,0,50.1,21,594.99
1/20/2020,PH,Baguio,dew,19,11.7,22.4,20,159.98
2/5/2020,PH,Baguio,dew,8,10.4,14.2,12.3,17.3
4/14/2020,PH,Baguio,dew,25,15.1,23,22,63.19
1/24/2020,PH,Baguio,dew,25,11.4,23,20,117.23
2/7/2020,PH,Baguio,dew,8,14.4,18.3,16.7,21.43
2/26/2020,PH,Baguio,dew,12,0,20.9,15.1,330.19
3/5/2020,PH,Baguio,dew,23,13.7,21,19,49.92
3/23/2020,PH,Baguio,dew,25,15.6,23,21,54.9
5/25/2020,PH,Baguio,dew,21,23,26.4,25,8.08
4/21/2020,PH,Baguio,dew,22,17.1,24,22,45.93
5/21/2020,PH,Baguio,dew,18,23,27,25,7.71
1/5/2020,PH,Baguio,dew,7,12.2,13.4,12.9,1.73
1/30/2020,PH,Baguio,dew,8,11.1,13.9,12.3,9.37
2/9/2020,PH,Baguio,dew,4,14.6,15.1,14.7,0.69
5/9/2020,PH,Baguio,dew,25,17,26,24,63.06
2/2/2020,PH,Baguio,humidity,7,53.7,89.5,83.7,1977.3
4/7/2020,PH,Baguio,humidity,31,46,94.4,74,1925.36
4/9/2020,PH,Baguio,humidity,32,55,96.3,83,1231.7
5/12/2020,PH,Baguio,humidity,22,49,88,70,1553.51
4/8/2020,PH,Baguio,humidity,31,44,94.5,83,2421.11
4/18/2020,PH,Baguio,humidity,31,55,96.3,74,1452.7
5/8/2020,PH,Baguio,humidity,30,42,100,78,3302.62
1/12/2020,PH,Baguio,humidity,22,55,96.9,78,2182.55
1/29/2020,PH,Baguio,humidity,8,75.5,93.7,90.1,478.53
3/14/2020,PH,Baguio,humidity,16,18.2,293.2,82.4,31888
3/28/2020,PH,Baguio,humidity,40,41,91,67.7,2178.27
4/5/2020,PH,Baguio,humidity,31,44,96.3,65,3032.69
5/21/2020,PH,Baguio,humidity,24,59,88,79,1041.72
5/27/2020,PH,Baguio,humidity,20,52,90.4,74,1359.38
3/15/2020,PH,Baguio,humidity,13,17.5,90.9,79.8,4817.38
5/20/2020,PH,Baguio,humidity,24,59,94,74,1015.87
1/22/2020,PH,Baguio,humidity,32,48,88,69,1495.39
3/7/2020,PH,Baguio,humidity,8,59.7,89.2,86.8,984.26
4/4/2020,PH,Baguio,humidity,31,39,94.4,69,2353.47
5/1/2020,PH,Baguio,humidity,32,37,96.3,65,3553.79
1/31/2020,PH,Baguio,humidity,6,60.4,95.5,82.1,2447.15
2/7/2020,PH,Baguio,humidity,8,65.4,94.5,82.7,985.91
2/21/2020,PH,Baguio,humidity,4,16.4,84.5,59.7,9060.82
3/10/2020,PH,Baguio,humidity,14,15.7,296.6,80.7,39995.8
3/20/2020,PH,Baguio,humidity,31,43,91,74,2822.68
3/5/2020,PH,Baguio,humidity,31,38,94.5,69,2615.44
5/17/2020,PH,Baguio,humidity,21,56,94,78,1292.48
4/19/2020,PH,Baguio,humidity,32,47,96.3,77.4,1977.72
4/30/2020,PH,Baguio,humidity,31,41,100,69,3749.11
5/19/2020,PH,Baguio,humidity,23,66,94,83,720.79
1/19/2020,PH,Baguio,humidity,16,16,404.8,85.2,70392.8
1/20/2020,PH,Baguio,humidity,23,20.8,91.9,69,2658.71
1/21/2020,PH,Baguio,humidity,30,62,88,74.7,565.04
3/16/2020,PH,Baguio,humidity,26,55,93.8,65,1459.69
4/12/2020,PH,Baguio,humidity,32,55,96.3,83,1150.68
5/14/2020,PH,Baguio,humidity,23,50,83,66,1072.41
1/15/2020,PH,Baguio,humidity,30,20.5,293.2,80.2,18161.3
1/18/2020,PH,Baguio,humidity,16,62.9,397.6,83.2,93369.2
1/25/2020,PH,Baguio,humidity,17,67.9,93.2,83,480.78
3/9/2020,PH,Baguio,humidity,16,17.7,293.2,83.9,32621.2
3/21/2020,PH,Baguio,humidity,32,41,90.2,69,2407.28
3/31/2020,PH,Baguio,humidity,31,41,91,65,2400.03
4/29/2020,PH,Baguio,humidity,26,49,96.3,62,1806.19
5/10/2020,PH,Baguio,humidity,23,47,94,83,2805.52
1/10/2020,PH,Baguio,humidity,13,15.3,422.2,84.3,95723.9
1/11/2020,PH,Baguio,humidity,16,18.4,310.6,83.4,36302.3
2/25/2020,PH,Baguio,humidity,9,14.4,84.3,76.5,7625.81
3/2/2020,PH,Baguio,humidity,31,40,95,69,2331.38
3/17/2020,PH,Baguio,humidity,31,52,96.2,69,1572.27
4/17/2020,PH,Baguio,humidity,32,55,96.3,74,1611.26
5/18/2020,PH,Baguio,humidity,24,59,94,88,1373.62
1/3/2020,PH,Baguio,humidity,7,52.8,91.9,81.2,1993.26
2/6/2020,PH,Baguio,humidity,7,59.7,88.5,82.1,1434.93
3/13/2020,PH,Baguio,humidity,14,19.1,293.2,80.9,37887.8
3/19/2020,PH,Baguio,humidity,28,38,96.3,68.4,3141.01
4/27/2020,PH,Baguio,humidity,30,49,101.9,70,2190.78
5/3/2020,PH,Baguio,humidity,30,56,94.6,70,1086.56
4/21/2020,PH,Baguio,humidity,32,41,96.3,74,2897.53
5/28/2020,PH,Baguio,humidity,3,83,88,83,83.33
1/6/2020,PH,Baguio,humidity,8,57.6,86.9,80.4,1551.26
1/13/2020,PH,Baguio,humidity,32,18.9,329.2,81.9,22126.7
1/27/2020,PH,Baguio,humidity,8,59.3,96.2,81.2,2387.11
3/22/2020,PH,Baguio,humidity,31,41,92.6,65,2379.38
3/30/2020,PH,Baguio,humidity,32,49,92.7,65,1288.38
2/9/2020,PH,Baguio,humidity,4,64.9,90.8,86.9,1449.53
3/25/2020,PH,Baguio,humidity,40,41,91.4,69.6,2238.35
5/6/2020,PH,Baguio,humidity,32,42,96.4,74,2616.15
5/15/2020,PH,Baguio,humidity,24,74,94,83,411.01
5/16/2020,PH,Baguio,humidity,24,79,100,88,461.45
1/24/2020,PH,Baguio,humidity,31,60,94,73,1267.2
2/3/2020,PH,Baguio,humidity,7,66.8,93.6,85.4,1181.97
5/2/2020,PH,Baguio,humidity,31,39,96.3,65,2640.95
5/24/2020,PH,Baguio,humidity,23,16.2,100,94,3537.35
1/8/2020,PH,Baguio,humidity,8,64.2,94.4,81.2,1013.2
1/26/2020,PH,Baguio,humidity,8,71.8,93.2,89.2,529.51
3/6/2020,PH,Baguio,humidity,20,54.5,92.1,73,1259.63
5/7/2020,PH,Baguio,humidity,31,50,96.4,81,2526.78
5/5/2020,PH,Baguio,humidity,30,39,94.6,70,3083.3
1/9/2020,PH,Baguio,humidity,16,20.5,293.2,84.4,33362.6
2/22/2020,PH,Baguio,humidity,7,15.3,84.5,78.6,6773.23
3/1/2020,PH,Baguio,humidity,20,49,92,65,2238.71
4/1/2020,PH,Baguio,humidity,31,36,94.5,65,2478.81
4/25/2020,PH,Baguio,humidity,32,46,96.3,69,2368.26
3/18/2020,PH,Baguio,humidity,32,43,93.2,73,2359.97
4/23/2020,PH,Baguio,humidity,32,47,98.2,74,1991.83
5/26/2020,PH,Baguio,humidity,23,59,94,83,1430.78
5/11/2020,PH,Baguio,humidity,24,44,94,70,2770.14
2/26/2020,PH,Baguio,humidity,12,20.3,91.8,70.5,4340.11
3/3/2020,PH,Baguio,humidity,25,46,86.1,65,1118.37
3/12/2020,PH,Baguio,humidity,16,12,89.3,73.2,6376.87
4/6/2020,PH,Baguio,humidity,30,44,96.3,62,2722.31
4/24/2020,PH,Baguio,humidity,32,46,96.3,74,2598.02
5/4/2020,PH,Baguio,humidity,32,44,96.3,67.2,2149.11
1/4/2020,PH,Baguio,humidity,8,48,89.4,80.6,2390.36
1/5/2020,PH,Baguio,humidity,7,56.1,87.3,78.2,1803.36
1/28/2020,PH,Baguio,humidity,8,56.1,90.2,79.8,1797.11
2/28/2020,PH,Baguio,humidity,8,46.2,84.2,57.5,1930.8
3/29/2020,PH,Baguio,humidity,30,41,94.4,65,2876.34
3/11/2020,PH,Baguio,humidity,15,13.6,92.1,84.2,3624.91
4/11/2020,PH,Baguio,humidity,29,55,96.3,78,1986.62
4/16/2020,PH,Baguio,humidity,31,46,100,88,2181.37
4/13/2020,PH,Baguio,humidity,32,49,96.2,78,1782.15
5/23/2020,PH,Baguio,humidity,24,66,319.8,88,23914.8
1/7/2020,PH,Baguio,humidity,8,43,94.5,77.4,3648.62
2/1/2020,PH,Baguio,humidity,7,54.7,93.6,85.4,1751.52
2/8/2020,PH,Baguio,humidity,8,73.7,94.5,90.9,526.13
3/26/2020,PH,Baguio,humidity,38,36,86.8,65,2158.28
4/2/2020,PH,Baguio,humidity,31,44,90.9,65,2189.12
2/27/2020,PH,Baguio,humidity,8,64.3,95,80.4,1480.26
3/27/2020,PH,Baguio,humidity,40,49,86,73,1379.52
4/3/2020,PH,Baguio,humidity,31,28,96.3,65.3,4067.69
4/15/2020,PH,Baguio,humidity,32,52,100,83,2030.01
2/5/2020,PH,Baguio,humidity,8,55.4,93.7,79.8,2954.99
2/24/2020,PH,Baguio,humidity,8,16.2,91.9,85.8,10323.6
2/29/2020,PH,Baguio,humidity,8,49,89.3,81.2,2469.11
3/23/2020,PH,Baguio,humidity,32,39,94.5,70,2946.08
1/17/2020,PH,Baguio,humidity,23,18.8,321.4,78,28538.1
3/8/2020,PH,Baguio,humidity,15,18.4,289.9,83.8,33743.4
4/10/2020,PH,Baguio,humidity,32,55,96.3,74,1985.54
4/20/2020,PH,Baguio,humidity,31,44,98.2,74,2787.57
1/16/2020,PH,Baguio,humidity,32,20.1,317.9,78,21394.9
3/24/2020,PH,Baguio,humidity,35,43,92.8,69,2066.47
4/26/2020,PH,Baguio,humidity,31,50,96.3,70,1857.47
5/22/2020,PH,Baguio,humidity,24,14.4,94,83,4331.39
4/14/2020,PH,Baguio,humidity,32,55,96.3,78,1726.16
5/9/2020,PH,Baguio,humidity,29,47,100,83,2357.18
1/30/2020,PH,Baguio,humidity,8,67.4,89.4,86,846.51
4/22/2020,PH,Baguio,humidity,32,50,96.4,69,1725.76
2/4/2020,PH,Baguio,humidity,8,43.5,91.2,78.7,3564.18
2/23/2020,PH,Baguio,humidity,7,14.6,87.2,73.9,9404.9
4/28/2020,PH,Baguio,humidity,26,44,91.1,62,1643.58
5/25/2020,PH,Baguio,humidity,24,59,94,78,757.1
1/14/2020,PH,Baguio,humidity,31,19.9,310.6,83,20322.1
1/23/2020,PH,Baguio,humidity,29,45,79.8,63.8,1501.25
3/4/2020,PH,Baguio,humidity,25,55,90.9,69,690.86
5/13/2020,PH,Baguio,humidity,24,47,83,70,1620.85
4/15/2020,PH,Baguio,wind-speed,29,1,5.1,1,12.54
4/19/2020,PH,Baguio,wind-speed,30,1,5.1,2,8.09
4/25/2020,PH,Baguio,wind-speed,30,1,5.1,2,15.33
5/25/2020,PH,Baguio,wind-speed,24,1,4.1,1,7.87
4/5/2020,PH,Baguio,wind-speed,28,1,4.1,1,8.36
4/6/2020,PH,Baguio,wind-speed,27,1,5.1,2,13.06
5/18/2020,PH,Baguio,wind-speed,24,1,4.1,1,7.74
4/26/2020,PH,Baguio,wind-speed,27,1,5.1,2,11.77
4/11/2020,PH,Baguio,wind-speed,25,1,5.1,1,13.4
4/13/2020,PH,Baguio,wind-speed,31,1,5.1,2,15.74
4/14/2020,PH,Baguio,wind-speed,31,1,4.1,2,8.21
5/9/2020,PH,Baguio,wind-speed,26,1,7.2,1,35.23
5/21/2020,PH,Baguio,wind-speed,24,1,5.1,2,18.17
5/22/2020,PH,Baguio,wind-speed,24,1,7.2,2,24.24
3/30/2020,PH,Baguio,wind-speed,31,1,6.1,2,23.02
4/3/2020,PH,Baguio,wind-speed,27,0.5,6.1,1,37.08
4/28/2020,PH,Baguio,wind-speed,26,1,5.1,1,15.47
5/3/2020,PH,Baguio,wind-speed,29,0.5,7.2,2,28.79
5/8/2020,PH,Baguio,wind-speed,26,1,6.1,1,13.57
3/31/2020,PH,Baguio,wind-speed,30,1,5.1,2,11.49
4/20/2020,PH,Baguio,wind-speed,27,1,5.1,1,9.35
5/4/2020,PH,Baguio,wind-speed,30,1,3,1,4.55
5/6/2020,PH,Baguio,wind-speed,30,1,5.1,2,12.57
5/7/2020,PH,Baguio,wind-speed,29,1,3,1,7.44
5/12/2020,PH,Baguio,wind-speed,22,1,3,2,5.65
5/17/2020,PH,Baguio,wind-speed,21,1,4.1,2,10.88
5/20/2020,PH,Baguio,wind-speed,24,1,5.1,1,22.42
4/16/2020,PH,Baguio,wind-speed,29,1,4.1,1,8.4
4/22/2020,PH,Baguio,wind-speed,28,1,5.1,2,21.71
4/29/2020,PH,Baguio,wind-speed,26,1,6.1,2,20.07
5/26/2020,PH,Baguio,wind-speed,23,1,5.1,2,20.52
5/27/2020,PH,Baguio,wind-speed,20,1,5.1,1.5,23.31
4/10/2020,PH,Baguio,wind-speed,30,1,5.1,2,16.61
4/23/2020,PH,Baguio,wind-speed,29,1,4.1,1,8.4
4/12/2020,PH,Baguio,wind-speed,31,1,4.1,2,7.68
4/17/2020,PH,Baguio,wind-speed,32,1,4.1,1,6.45
4/18/2020,PH,Baguio,wind-speed,29,0.5,5.1,2,9.21
4/9/2020,PH,Baguio,wind-speed,26,1,5.1,2,16
5/11/2020,PH,Baguio,wind-speed,24,1,5.1,1,14.33
5/15/2020,PH,Baguio,wind-speed,24,1,10.8,2,68.29
5/23/2020,PH,Baguio,wind-speed,24,0.5,5.1,2,19.89
5/28/2020,PH,Baguio,wind-speed,3,1,2,2,3.33
4/4/2020,PH,Baguio,wind-speed,27,1,7.2,2,26
4/24/2020,PH,Baguio,wind-speed,30,1,3,1,5.75
4/30/2020,PH,Baguio,wind-speed,25,1,5.1,2,13.02
1/3/2020,PH,Baguio,wind-speed,7,1,3,1,9.52
1/5/2020,PH,Baguio,wind-speed,7,2,5,3,12.38
4/8/2020,PH,Baguio,wind-speed,27,1,5.1,2,15.2
5/1/2020,PH,Baguio,wind-speed,27,1,4.1,2,10.59
5/24/2020,PH,Baguio,wind-speed,23,1,4.1,1,8.95
4/1/2020,PH,Baguio,wind-speed,28,1,6.1,2,27.12
5/13/2020,PH,Baguio,wind-speed,24,1,7.2,1,29.29
5/19/2020,PH,Baguio,wind-speed,23,1,3,1,5.22
1/4/2020,PH,Baguio,wind-speed,7,1,5,2,22.86
4/2/2020,PH,Baguio,wind-speed,29,1,6.1,2,25.27
4/7/2020,PH,Baguio,wind-speed,27,1,30.8,2,325.57
4/21/2020,PH,Baguio,wind-speed,27,1,5.1,2,14.55
5/5/2020,PH,Baguio,wind-speed,28,1,6.1,2,18.5
5/10/2020,PH,Baguio,wind-speed,23,1,7.2,2,22.66
5/16/2020,PH,Baguio,wind-speed,24,0.5,8.2,2,54.4
4/27/2020,PH,Baguio,wind-speed,29,0.5,6.1,2,31.88
5/2/2020,PH,Baguio,wind-speed,29,0.5,5.1,2,13.02
5/14/2020,PH,Baguio,wind-speed,23,1,4.1,2,10.81
3/26/2020,PH,Baguio,precipitation,2,99,99,99,0
4/15/2020,PH,Baguio,precipitation,3,0.2,99.2,0.2,32670
5/20/2020,PH,Baguio,precipitation,2,99,99.2,99,0.2
5/21/2020,PH,Baguio,precipitation,2,99,99.3,99,0.45
5/23/2020,PH,Baguio,precipitation,2,0.2,0.4,0.2,0.2
4/20/2020,PH,Baguio,precipitation,3,0.1,99.2,0.4,32637.2
4/26/2020,PH,Baguio,precipitation,2,99,99.4,99,0.8
4/29/2020,PH,Baguio,precipitation,3,1.7,99,99,31557.6
3/24/2020,PH,Baguio,precipitation,3,99,99.4,99,0.53
4/18/2020,PH,Baguio,precipitation,2,5.5,99.4,5.5,44086
4/21/2020,PH,Baguio,precipitation,2,0.4,99.2,0.4,48807.2
4/25/2020,PH,Baguio,precipitation,2,99,99.2,99,0.2
4/30/2020,PH,Baguio,precipitation,2,0.2,99,0.2,48807.2
5/1/2020,PH,Baguio,precipitation,3,0.9,99,1.6,31851.4
3/25/2020,PH,Baguio,precipitation,2,99,99,99,0
3/29/2020,PH,Baguio,precipitation,3,2,2,2,0
4/10/2020,PH,Baguio,precipitation,2,2,99,2,47045
4/28/2020,PH,Baguio,precipitation,2,0.6,1.7,0.6,6.05
4/30/2020,PH,Baguio,no2,23,1.9,12.8,6,84.78
4/5/2020,PH,Baguio,no2,24,1.9,11.9,6.4,63.66
4/15/2020,PH,Baguio,no2,24,1.4,12.4,6.9,100.6
4/3/2020,PH,Baguio,no2,24,3.7,13.3,7.8,72.46
3/12/2020,PH,Baguio,no2,7,6,20.2,12.4,192.13
4/1/2020,PH,Baguio,no2,24,1.4,13.8,6.4,106.51
4/28/2020,PH,Baguio,no2,24,0.5,12.8,5.1,156.65
5/13/2020,PH,Baguio,no2,24,1.9,21.5,6.4,342.13
3/13/2020,PH,Baguio,no2,24,1,16.5,5.5,173.26
4/16/2020,PH,Baguio,no2,24,0.5,17.4,6.9,248.92
2/25/2020,PH,Baguio,no2,24,2.8,19.2,9.6,248.24
3/22/2020,PH,Baguio,no2,7,2.8,5.1,4.2,6.89
3/30/2020,PH,Baguio,no2,14,1.4,10.1,3.7,83.24
5/1/2020,PH,Baguio,no2,7,5.1,10.1,8.7,28.96
5/2/2020,PH,Baguio,no2,11,44.4,135.8,115.8,6133.86
5/3/2020,PH,Baguio,no2,16,1.4,126,5.1,20645.2
2/19/2020,PH,Baguio,no2,15,3.7,17.9,6.9,225.11
2/24/2020,PH,Baguio,no2,20,3.7,30.7,16,948.08
5/6/2020,PH,Baguio,no2,24,1.4,14.7,3.7,121.4
5/18/2020,PH,Baguio,no2,24,2.3,17.9,4.2,150.29
5/26/2020,PH,Baguio,no2,24,1.9,18.8,7.8,256.72
1/13/2020,PH,Baguio,no2,2,6.4,11.5,6.4,130.05
4/27/2020,PH,Baguio,no2,24,0.5,13.3,6.4,148.41
5/4/2020,PH,Baguio,no2,24,1.9,11.9,5.1,123.98
5/8/2020,PH,Baguio,no2,19,2.8,155.5,11.9,29462.2
4/10/2020,PH,Baguio,no2,24,2.3,15.1,5.1,95.44
4/17/2020,PH,Baguio,no2,18,1.9,157.3,8.7,25355.1
5/19/2020,PH,Baguio,no2,24,1.9,13.3,6.4,132.67
5/20/2020,PH,Baguio,no2,24,2.3,18.3,7.4,241.36
3/14/2020,PH,Baguio,no2,24,1,24.3,6.9,536.77
4/24/2020,PH,Baguio,no2,13,3.7,14.2,5.5,113.56
4/18/2020,PH,Baguio,no2,8,1.9,164.7,128.2,27341.8
5/17/2020,PH,Baguio,no2,14,1,4.2,1.9,10.1
4/4/2020,PH,Baguio,no2,24,2.3,16,4.6,209.1
4/6/2020,PH,Baguio,no2,24,1.9,18.3,5.1,146.29
3/20/2020,PH,Baguio,no2,7,2.8,14.7,9.2,136.92
3/24/2020,PH,Baguio,no2,24,2.3,9.6,5.5,38.65
3/31/2020,PH,Baguio,no2,24,1,12.8,6.9,124.3
4/2/2020,PH,Baguio,no2,24,1,12.4,5.1,76.1
4/21/2020,PH,Baguio,no2,21,3.2,9.2,5.5,31.53
5/9/2020,PH,Baguio,no2,9,38.4,171,116.4,12322
2/17/2020,PH,Baguio,no2,18,2.3,22,10.1,453.59
3/15/2020,PH,Baguio,no2,17,1.4,17.9,5.5,291.51
5/10/2020,PH,Baguio,no2,15,1.4,131.7,4.2,26080.6
5/14/2020,PH,Baguio,no2,18,2.3,15.6,7.8,228.47
5/23/2020,PH,Baguio,no2,16,3.2,114,17,16134.8
2/14/2020,PH,Baguio,no2,11,8.3,23.8,18.8,283.98
4/25/2020,PH,Baguio,no2,10,69.7,147.3,103.9,6186.94
3/27/2020,PH,Baguio,no2,24,1.4,15.1,5.5,203.62
4/8/2020,PH,Baguio,no2,24,1.4,11.5,4.6,98.82
4/11/2020,PH,Baguio,no2,24,2.3,14.2,5.1,134.87
5/21/2020,PH,Baguio,no2,24,2.3,17,10.6,221.77
5/25/2020,PH,Baguio,no2,24,1,12.8,3.7,134.99
3/4/2020,PH,Baguio,no2,6,1.4,3.2,1.9,5.88
